"","ID","bin"
"1","A11_2_S203",5
"2","A4_2_S196",8
"3","A5_2_S197",6
"4","A6_2_S198",16
"5","A7_2_S199",11
"6","A8_2_S200",7
"7","A9_2_S201",4
"8","B1_2_S205",3
"9","B10_2_S214",3
"10","B5_2_S209",7
"11","B6_2_S210",7
"12","B8_2_S212",8
"13","C1_2_S217",15
"14","C11_2_S227",10
"15","C3_2_S219",2
"16","C4_2_S220",14
"17","C6_2_S222",6
"18","C8_2_S224",11
"19","D1_2_S229",9
"20","D11_2_S239",1
"21","D4_2_S232",12
"22","D6_2_S234",12
"23","D8_2_S236",4
"24","E2_2_S242",13
"25","E6_2_S246",5
"26","E8_2_S248",13
"27","F1_2_S253",1
"28","F2_2_S254",7
"29","F3_2_S255",9
"30","F6_2_S258",9
"31","F7_2_S259",16
"32","F8_2_S260",2
"33","G1_2_S265",9
"34","G5_2_S269",7
"35","G6_2_S270",10
"36","H1_2_S277",9
"37","H4_2_S280",7
"38","H6_2_S282",14
"39","H8_2_S284",15
